name,address,type
풍덕천4통 경로당,노인시설,노인시설
"풍덕천8,9통 경로당",경기도 용인시 수지구 풍덕천동 678-1,노인시설
"풍덕천1,2,3통 경로당",경기도 용인시 수지구 풍덕천동 69-42,노인시설
삼성5차경로당,경기도 용인시 수지구 풍덕천동 1168-1,노인시설
삼성1차(아) 경로당,경기도 용인시 수지구 신봉동 576-2,노인시설
현대홈타운3차2단지경로당,경기도 용인시 수지구 죽전동 1118,노인시설
현암경로당,경기도 용인시 수지구 죽전동 500-1,노인시설
동천2통경로당,경기도 용인시 수지구 동천동 116,노인시설
만현마을2단지아이파크경로당,경기도 용인시 수지구 상현동 864,노인시설
현대성우3차(아) 경로당,경기도 용인시 수지구 상현동 855,노인시설
상현2동주민센터(휴게실),경기도 용인시 수지구 상현동 1199,주민센터
광교휴먼시아41단지경로당,경기도 용인시 수지구 상현동 1135,노인시설
LG빌리지2차(아) 경로당,경기도 용인시 수지구 성복동 90-1,노인시설
LG빌리지3차(아)경로당,경기도 용인시 수지구 성복동 726,노인시설
